DEPTH,GR,NPHI,RHOB,RT,vcl,phie,phit
4268.0,69.11,0.31,2.29,1.88,0.46,0.16,0.25
4268.5,69.8,0.31,2.29,1.86,0.47,0.16,0.25
4269.0,71.17,0.32,2.29,1.84,0.48,0.16,0.25
4269.5,72.97,0.33,2.28,1.83,0.51,0.16,0.26
4270.0,75.44,0.33,2.28,1.81,0.54,0.16,0.26
4270.5,78.02,0.33,2.29,1.81,0.56,0.16,0.25
4271.0,79.56,0.33,2.3,1.8,0.58,0.13,0.25
4271.5,80.34,0.33,2.32,1.8,0.59,0.11,0.24
4272.0,80.95,0.32,2.33,1.8,0.59,0.11,0.24
4272.5,81.22,0.32,2.34,1.79,0.59,0.09,0.23
4273.0,81.49,0.32,2.34,1.79,0.6,0.1,0.23
4273.5,81.88,0.33,2.33,1.79,0.6,0.1,0.24
4274.0,82.27,0.33,2.32,1.8,0.6,0.11,0.24
4274.5,82.56,0.33,2.31,1.8,0.61,0.12,0.25
4275.0,82.81,0.34,2.31,1.81,0.61,0.12,0.25
4275.5,83.05,0.34,2.32,1.81,0.61,0.11,0.25
4276.0,83.21,0.34,2.34,1.82,0.62,0.09,0.24
4276.5,83.43,0.35,2.35,1.83,0.62,0.07,0.24
4277.0,83.88,0.35,2.35,1.84,0.62,0.07,0.24
4277.5,84.45,0.36,2.35,1.84,0.63,0.06,0.24
4278.0,85.42,0.36,2.34,1.84,0.64,0.07,0.24
4278.5,85.85,0.36,2.33,1.84,0.65,0.09,0.25
4279.0,85.8,0.35,2.33,1.83,0.64,0.09,0.25
4279.5,85.16,0.34,2.32,1.81,0.64,0.1,0.25
4280.0,83.88,0.33,2.3,1.78,0.62,0.13,0.25
4280.5,82.51,0.32,2.29,1.76,0.6,0.15,0.25
4281.0,81.55,0.31,2.28,1.75,0.59,0.17,0.25
4281.5,82.09,0.31,2.25,1.75,0.6,0.22,0.26
4282.0,83.57,0.32,2.23,1.75,0.63,0.22,0.28
4282.5,84.85,0.34,2.21,1.75,0.64,0.22,0.29
4283.0,85.8,0.35,2.21,1.75,0.64,0.21,0.3
4283.5,87.23,0.35,2.21,1.76,0.66,0.21,0.29
4284.0,88.36,0.35,2.22,1.76,0.68,0.2,0.29
4284.5,88.73,0.34,2.23,1.75,0.68,0.19,0.28
4285.0,88.83,0.33,2.26,1.74,0.68,0.17,0.26
4285.5,88.76,0.33,2.27,1.73,0.68,0.17,0.26
4286.0,88.67,0.34,2.28,1.72,0.68,0.16,0.26
4286.5,88.51,0.34,2.29,1.7,0.67,0.15,0.26
4287.0,88.2,0.35,2.3,1.69,0.67,0.14,0.26
4287.5,87.8,0.35,2.3,1.68,0.66,0.14,0.26
4288.0,87.6,0.36,2.3,1.69,0.66,0.13,0.26
4288.5,87.58,0.36,2.29,1.71,0.66,0.14,0.26
4289.0,87.51,0.35,2.29,1.75,0.66,0.15,0.26
4289.5,86.16,0.35,2.29,1.78,0.64,0.15,0.26
4290.0,84.48,0.35,2.29,1.8,0.62,0.15,0.26
4290.5,82.14,0.34,2.3,1.83,0.6,0.13,0.25
4291.0,79.26,0.34,2.31,1.83,0.56,0.13,0.25
4291.5,77.4,0.33,2.31,1.82,0.55,0.14,0.24
4292.0,77.05,0.31,2.31,1.79,0.55,0.15,0.24
4292.5,77.72,0.29,2.31,1.76,0.55,0.16,0.23
4293.0,79.32,0.28,2.32,1.72,0.57,0.16,0.22
4293.5,83.49,0.28,2.33,1.69,0.62,0.15,0.22
4294.0,87.49,0.29,2.34,1.67,0.67,0.13,0.22
4294.5,92.8,0.3,2.33,1.64,0.73,0.14,0.23
4295.0,100.52,0.31,2.32,1.61,0.82,0.14,0.23
4295.5,107.14,0.32,2.31,1.6,0.9,0.14,0.24
4296.0,112.26,0.33,2.3,1.59,0.95,0.16,0.25
4296.5,115.71,0.33,2.29,1.58,0.98,0.16,0.25
4297.0,117.7,0.34,2.29,1.58,1.0,0.15,0.26
4297.5,121.81,0.35,2.27,1.58,1.0,0.17,0.27
4298.0,126.7,0.36,2.26,1.6,1.0,0.16,0.28
4298.5,128.84,0.38,2.25,1.63,1.0,0.17,0.28
4299.0,128.82,0.4,2.22,1.68,1.0,0.18,0.3
4299.5,128.13,0.41,2.17,1.76,1.0,0.23,0.33
4300.0,127.11,0.42,2.11,1.83,1.0,0.28,0.36
4300.5,124.74,0.45,2.04,1.89,1.0,0.33,0.4
4301.0,121.27,0.46,1.98,1.93,1.0,0.38,0.43
4301.5,118.14,0.48,1.93,1.95,0.99,0.43,0.46
4302.0,115.14,0.49,1.88,1.94,0.96,0.46,0.48
4302.5,110.1,0.49,1.84,1.91,0.9,0.5,0.5
4303.0,103.35,0.49,1.81,1.87,0.83,0.53,0.51
4303.5,98.06,0.5,1.8,1.8,0.77,0.53,0.52
4304.0,93.39,0.5,1.82,1.76,0.71,0.5,0.5
4304.5,89.32,0.51,1.86,1.72,0.67,0.46,0.49
4305.0,88.0,0.5,1.9,1.7,0.66,0.42,0.46
4305.5,87.83,0.45,2.0,1.68,0.67,0.36,0.41
4306.0,87.33,0.42,2.11,1.66,0.66,0.24,0.33
4306.5,87.16,0.4,2.19,1.65,0.66,0.21,0.31
4307.0,87.88,0.39,2.24,1.65,0.67,0.16,0.29
4307.5,89.54,0.38,2.25,1.65,0.69,0.17,0.28
4308.0,90.86,0.37,2.25,1.64,0.7,0.18,0.28
4308.5,91.69,0.36,2.25,1.64,0.71,0.18,0.28
4309.0,91.88,0.36,2.25,1.63,0.71,0.18,0.28
4309.5,91.38,0.36,2.25,1.63,0.7,0.18,0.28
4310.0,90.77,0.36,2.27,1.62,0.7,0.16,0.27
4310.5,89.56,0.36,2.29,1.61,0.68,0.14,0.26
4311.0,87.24,0.35,2.3,1.61,0.66,0.14,0.26
